number,name,author,copyright,copydate,lyrics
160,Befriended,Matt Redman,Thankyou,2002,"Verse 1:
Befriended, befriended
By the King above all Kings
Surrendered, surrendered
To the friend above all friends

Verse 2:
Invited, invited
Deep into this mystery
Delighted, delighted
By the wonders I have seen

Chorus:
This will be my story
This will be my song
You'll always be my Savior, Jesus
You will always have my heart

Verse 3:
Astounded, astounded
That Your gospel beckoned me
Surrounded, surrounded
But I've never been so free

Verse 4:
Determined, determined
Now to live this life for You
You're so worthy my greatest gift
Would be the least You're due"
161,Jesus Lord Of Heaven,Phil Wickham,Worship Generation,2002,"Verse:
Jesus Lord of Heaven
I do not deserve
The grace that You have given
Or the promise of Your Word
Lord I stand in wonder
Of the sacrifice You made
With mercy beyond measure
My debt You freely paid

Chorus (part 1):
Your love is deeper, than any ocean
Higher, than the heavens
Reaches, beyond the stars in the sky

Chorus (part 2):
Jesus Your love has no bounds
Jesus Your love has no bounds"
162,All,Joel Houston,Hillsong,2002,"Verse 1:
You're the one who gives me shelter
And You're the light that leads me home
You're the love that gave forever
Lord You're all that I know

Bridge:
And all that I am unto You I surrender
Lord there is none like You
And I know that I stand in the arms of forever
Lord there is none like You

Verse 2:
With the world upon Your shoulders
Lord You gave Your life away
If the world I know was over
I know I'd have life in the price you paid

Chorus:
And I will stand
And I will worship You forever
For all You are
And I will stand
And all to You I will surrender
I'll worship You forever"
163,How Great Thou Art,Stuart Wesley Keene Hine,Manna,1955,"Verse 1:
O Lord my God, when I in awesome wonder
Consider all the works Thy hand hath made
I see the stars, I hear the rolling thunder
Thy pow'r throughout the universe displayed

Chorus:
Then sings my soul
My Savior, God, to Thee
How great Thou art
How great Thou art

Verse 2:
And when I think that God, His Son not sparing
Sent Him to die, I scarce can take it in
That on the cross, my burden gladly bearing
He bled and died to take away my sin

Verse 3:
When Christ shall come, with shouts of acclamation
And take me home, what joy shall fill my heart
Then I shall bow in humble adoration
And there proclaim, My God, how great Thou art"
164,Every Breath That I Take,Eddie Espinosa,Mercy/Vineyard,1982,"Verse 1:
Every breath that I take says I love You
Every beat of my heart says I'm Yours
Every step that I take says I need You
And I'll bless Your holy name

Chorus:
You are my Redeemer
You're the reason that I live
Yes, and You are my salvation
And I'll bless Your holy name

Verse 2:
Every day that goes by shows Your mercy
Every gift that You give shows You care
Every song that I sing says You're worthy
And I'll bless Your holy name"
165,Set Me On Fire,Ryan Delmore,Mercy/Vineyard,1998,"Verse 1:
I am so tired of compromising
I am so tired of lukewarm living
So here I am with arms wide open
Lord here I am, my heart wide open

Chorus:
Set me on fire
Set me on fire
Set me on fire
Set me on fire

Verse 2:
Take this heart of mine
Place your love inside
I want to go against the grain
I want to go against the grain"
166,Listen To Our Hearts,"Geoff Moore, Steven Curtis Chapman",Starstruck/Sparrow/Peach Hill,1992,"Verse 1 (Part 1):
How do you explain
How do you describe
A love that goes from east to west
And runs as deep as it is wide?

Verse 1 (Part 2):
You know all our hopes
Lord, You know all our fears
And words cannot express
The love we feel
But we long for You to hear

Chorus (Part 1):
So listen to our hearts
Hear our spirits sing
A song of praise that flows
From those You have redeemed

Chorus (Part 2):
We will use the words we know
To tell You what
An awesome God You are
But words are not enough
To tell You of our love
So listen to our hearts

Verse 2 (Part 1):
If words could fall like rain
From these lips of mine
And if I had a thousand years
I would still run out of time

Verse 2 (Part 2):
So if you'll listen to my heart
Every beat will say
Thank You for the life
Thank You for the truth
Thank You for the Way
"
167,Times Of Refreshing,Bob Baker,Mercy/Vineyard,1994,"Verse 1:
Well I thank You Lord, that You are my Savior
You're my strength and
You're the Rock on which I stand
You give me life and a grace that's greater
When I humble myself beneath Your mighty hand

Chorus:
You bring times of refreshing
You bring times of refreshing
You bring times of refreshing to my soul
When I'm weary from the fight
And I'm trying to do what's right
You bring times of refreshing to my soul

Verse 2:
The day will come when we'll all be gathered
And the sun will rise with healing in its wings
And all the years of pain won't seem to matter
When our eyes behold our Teacher and our King"
168,Wonderful Maker,"Matt Redman, Chris Tomlin",Thankyou/worshiptogether.com/Six Steps,2002,"Verse 1:
You spread out the skies over empty space
Said &quot;Let there be light&quot; 	
Into a dark and formless world Your light was born
You spread out Your arms over empty hearts
Said &quot;Let there be light&quot; 
Into a dark and hopeless world Your Son was born

Pre-Chorus:
You made the world and saw that it was good
You sent Your only Son, for You are good

Chorus:
What a wonderful Maker
What a wonderful Savior
How majestic Your whispers 
And how humble Your love
With a strength like no other
And the heart of a Father
How majestic Your whispers
What a wonderful God

Verse 2:
No eye has fully seen, how beautiful the cross
And we have only heard
The faintest whispers of how great You are"
169,Breathe,Marie Barnett,Mercy/Vineyard,1995,"Verse 1:
This is the air I breathe
This is the air I breathe
Your holy presence living in me

Verse 2:
This is my daily bread
This is my daily bread
Your very word spoken to me

Chorus:
And I, I'm desperate for You
And I, I'm lost without You
I'm lost without You
"
170,History Maker,Martin Smith,Curious,1996,"Verse 1:
Is it true today that when people pray
Cloudless skies will break
Kings and queens will shake?
Yes, it's true, and I believe it
I'm living for You

Verse 2:
Is it true today, that when people pray
We'll see dead men rise
And the blind set free?
Yes, it's true, and I believe it
I'm living for You

Chorus:
I'm gonna be a history maker
In this land
I'm gonna be a speaker of truth
To all mankind
I'm gonna stand
I'm gonna run into Your arms
Into Your arms again

Verse 3:
Is it true today, that when people stand
With the fire of God, and the truth in hand
We'll see miracles, we'll see angels sing
We'll see broken hearts, making history?
Yes, it's true, and I believe it
I'm living for You"
171,You Are So Good To Me,"Don Chaffer,Lori Chaffer,Ben Pasley,Robin Pasley",Blue Renaissance/Hey Ruth/Squint,1999,"Chorus:
You are beautiful my sweet, sweet song
You are beautiful my sweet, sweet song
You are beautiful my sweet, sweet song
And I will sing again

Verse 1:
You are so good to me
You heal my broken heart
You are my Father in heaven
You are so good to me
You heal my broken heart
You are my Father in heaven

Verse 2:
You ride upon the clouds
You lead me to the truth
You are the Spirit inside me
You ride upon the clouds
You lead me to the truth
You are the Spirit inside me

Bridge:
You are my strong melody, yeah
You are my dancing rhythm
You are my perfect rhyme
And I will sing of You forever

Verse 3:
You poured out all Your blood
You died upon the cross
You are my Jesus who loves me
You poured out all Your blood
You died upon the cross
You are my Jesus who loves me"
172,You Alone,"David Crowder, Jack Parker",worshiptogether.com,1998,"Verse 1:
You are the only one I need
I bow all of me at Your feet
I worship You alone

Verse 2:
You have given me more than
I could ever have wanted and
I want to give You my heart and my soul

Chorus:
You alone are Father and
You alone are good
You alone are Savior and
You alone are God

Bridge:
I'm alive, I'm alive, I'm alive, I'm alive
I'm alive, I'm alive, I'm alive, I'm alive
I'm alive, I'm alive, I'm alive, I'm alive
I'm alive, I'm alive, I'm alive, I'm alive"
173,Holy Is The Lord,"Chris Tomlin, Louie Giglio",worshiptogether.com/Six Steps,2003,"Verse:
We stand and lift up our hands
For the joy of the Lord is our strength
We bow down and worship Him now
How great, how awesome is He

Pre-Chorus:
And together we sing 
Everyone sing

Chorus:
Holy is the Lord God Almighty
The earth is filled with His glory
Holy is the Lord God Almighty
The earth is filled with His glory
The earth is filled with His glory

Bridge:
It's rising up all around 
It's the anthem of the Lord's renown
It's rising up all around
It's the anthem of the Lord's renown"
174,Show Me Your Glory,Third Day,New Spring/Meaux Mercy,2001,"Verse 1:
I caught a glimpse of Your splendor
In the corner of my eye
The most beautiful thing I've ever seen
And it was like a flash of lightning
Reflected off the sky
And I know I'll never be the same

Chorus:
Show me Your glory
Send down Your presence
I want to see Your face
Show me Your glory
Majesty shines about You
I can't go on without You, Lord

Verse 2:
When I climb down the mountain
And get back to my life
I won't settle for ordinary things
I'm gonna follow You forever
For all of my days
I won't rest ‘till I see You again"
